postcode,lat,lon,sub_category
SP2 8AP,51.056825,-1.78907,NEW_CONNECTION
EH32 9FA,55.9481,-2.99572,SMART_TO_SMART_MEX
DA14 4NQ,51.428302,0.115752,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
CV2 4GF,52.413612,-1.489604,METER_REMOVAL
W14 9HS,51.488604,-0.211261,TRACE_AND_LABEL
CH1 4LF,53.192807,-2.90249,TRACE_AND_LABEL
HP2 6LS,51.774668,-0.460416,SMART_TO_SMART_MEX
LE2 4JB,52.597765,-1.065266,TRAD_TO_SMART_MEX
DG13 0AX,55.151816,-3.00558,SMART_TO_SMART_MEX
TW11 8TX,51.428944,-0.342505,TRAD_TO_SMART_MEX
SW19 1XF,51.421101,-0.182345,TRAD_TO_SMART_MEX
TA4 2EG,51.057745,-3.371735,SMART_TO_SMART_MEX
AB43 9BG,57.688257,-2.024004,MEDIUM_PRESSURE
TA18 8ET,50.881695,-2.796458,TRAD_TO_SMART_MEX
G63 0YE,56.058976,-4.225522,SMART_TO_SMART_MEX
RG9 1QB,51.526656,-0.913194,TRAD_TO_SMART_MEX
BD7 2AQ,53.793569,-1.779835,SMART_TO_SMART_MEX
LA23 3AX,54.365978,-2.915084,THREE_PHASE
PH3 1FU,56.300885,-3.705625,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
ML11 9QU,55.66629,-3.916216,NEW_CONNECTION
YO43 4EQ,53.834953,-0.779887,SMART_TO_SMART_MEX
SW17 8QL,51.437097,-0.148286,SMART_TO_SMART_MEX
BS4 5EU,51.427065,-2.540574,SMART_TO_SMART_MEX
CV21 3LL,52.377558,-1.248294,SMART_TO_SMART_MEX
DG2 0LQ,55.08623,-3.634307,SMART_TO_SMART_MEX
IP28 7FR,52.342165,0.504267,SMART_TO_SMART_MEX
RH6 7PD,51.165961,-0.164083,SMART_TO_SMART_MEX
SM5 3JJ,51.354232,-0.163849,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
DE15 9GD,52.799387,-1.605848,SMART_TO_SMART_MEX
DH7 8DB,54.741571,-1.640016,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
LE9 4TG,52.544412,-1.285205,SMART_TO_SMART_MEX
LA6 3JD,54.142569,-2.440796,SMART_TO_SMART_MEX
NE65 7DF,55.33579,-2.103384,SMART_TO_SMART_MEX
WD6 2AE,51.650441,-0.277266,TRAD_TO_SMART_MEX
SG16 6FL,52.002235,-0.300674,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
LS6 3HN,53.820336,-1.578504,TRAD_TO_SMART_MEX
SS9 4PQ,51.560472,0.650426,TRACE_AND_LABEL
SO45 2HZ,50.825094,-1.382484,MEDIUM_PRESSURE
AB31 5RE,57.058339,-2.513005,TRAD_TO_SMART_MEX
CF72 9RT,51.534226,-3.455638,SMART_TO_SMART_MEX
ST21 6EL,52.858632,-2.270204,SMART_TO_SMART_MEX
BA6 8QH,51.112712,-2.641139,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
BN2 4RP,50.848596,-0.104134,TRACE_AND_LABEL
DN21 5JZ,53.350874,-0.685688,DUAL_BAND_OR_ALT_HAN_OR_AERIAL_INSTALLATION
